,com_qqnn,com_constant,bmb_bra,bmb_ket,bmbs,p0,p1,p2,p3,p4,p5,p6
0,"0 0 2 2(0, 0)",0.0,0.25617376914899,0.1936491673103706,0.04960783708246102,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
1,"0 1 1 3(0, 1)",-0.047809144373375745,0.39686269665968854,-0.04999999999999977,-0.019843134832984336,-0.0,0.0009486832980505094,-0.0,0.0,-0.0,0.0,-0.0
2,"0 1 2 1(0, 1)",-0.1673320053068151,-0.05400617248673254,-0.367423461417477,0.019843134832984582,0.0,-0.003320391543176824,0.0,-0.0,0.0,-0.0,0.0
3,"0 2 0 4(0, 2)",-0.06829877767625106,0.29999999999999993,-0.1511857892036909,-0.04535573676110726,0.0,-0.0,0.003097741381389432,-0.0,0.0,-0.0,0.0
4,"0 2 1 2(0, 2)",0.05122408325718831,-0.2635231383473654,0.17928429140015942,-0.04724555912615359,-0.0,0.0,-0.0024201104542105043,0.0,-0.0,0.0,-0.0
5,"0 2 2 0(0, 2)",-0.23904572186687878,-0.1416666666666671,0.396862696659689,-0.05622221536012278,0.0,-0.0,0.013439680055715669,-0.0,0.0,-0.0,0.0
6,"0 3 0 3(1, 1)",0.18779059114462837,-0.2898275349237891,0.3354101966249686,-0.09721111047611806,-0.0,0.0,-0.0243947133784418,0.03415259872981855,-0.0,0.0,-0.0
7,"0 3 1 1(0, 3)",-0.19123657749350295,0.05916079783099583,-0.3354101966249686,-0.01984313483298433,-0.0,0.0,-0.0,0.003794733192202035,-0.0,0.0,-0.0
8,"0 4 0 2(1, 2)",0.0916324257985455,0.2999999999999998,-0.1792842914001592,-0.05378528742004773,0.0,-0.0,0.0,-0.008131571126147276,0.010454877162189362,-0.0,0.0
9,"0 4 0 2(0, 4)",-0.17074694419062764,0.2999999999999998,0.151185789203691,0.045355736761107275,-0.0,0.0,-0.0,0.0,-0.007744353453473582,0.0,-0.0
10,"1 0 1 2(0, 2)",0.2,0.06972166887783927,0.17928429140015942,0.012499999999999963,-0.0,0.002371708245126277,-0.003952847075210461,0.0,-0.0,0.0,-0.0
11,"1 1 0 3(1, 1)",-0.047809144373375745,0.05916079783099588,0.3354101966249686,0.019843134832984343,0.0,-0.002371708245126275,0.0047434164902525455,-0.0033203915431767907,0.0,-0.0,0.0
12,"1 1 1 1(0, 3)",0.05855400437691199,-0.296928723209236,-0.3354101966249686,0.09959292143521074,0.0,-0.0,0.007792755662557808,-0.010909857927580941,0.0,-0.0,0.0
13,"1 2 0 2(2, 0)",0.2,-0.26352313834736546,-0.39686269665968904,0.10458250331675976,-0.0,0.04150489428971017,-0.1679960006964457,0.2351944009750241,-0.12451468286913032,0.0,-0.0
14,"1 2 0 2(1, 2)",0.05122408325718831,-0.26352313834736546,-0.1792842914001592,0.04724555912615354,0.0,-0.0,0.008470386589736771,-0.016940773179473543,0.010890497043947267,-0.0,0.0
15,"1 2 0 2(0, 4)",0.09163242579854551,-0.26352313834736546,0.151185789203691,-0.03984095364447989,0.0,-0.0,0.0,-0.0060233860193683675,0.0077443534534736205,-0.0,0.0
16,"1 3 0 1(2, 1)",0.058554004376912,0.39686269665968843,0.367423461417477,0.14581666571417692,0.0,-0.0,0.03201806130920488,-0.11455350823959996,0.14728308202234291,-0.07043973488025054,0.0
17,"1 3 0 1(1, 3)",-0.19123657749350295,0.39686269665968843,0.04999999999999969,0.019843134832984298,0.0,-0.0,0.0,-0.017076299364909148,0.03415259872981829,-0.02087103255711117,0.0
18,"2 0 0 2(2, 0)",0.0,-0.14166666666666708,-0.39686269665968904,0.05622221536012278,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
19,"2 0 0 2(1, 2)",0.2,-0.14166666666666708,-0.1792842914001592,0.02539860794835596,-0.0,0.010079760041786762,-0.04079902874056541,0.0571186402367916,-0.030239280125360243,0.0,-0.0
20,"2 1 0 1(2, 1)",-0.1673320053068151,-0.05400617248673259,0.367423461417477,-0.0198431348329846,-0.0,0.014526713001398623,-0.058106852005594435,0.11040301881062974,-0.10459233361006996,0.041089845346813335,-0.0
21,"2 1 0 1(1, 3)",0.05855400437691199,-0.05400617248673259,0.04999999999999969,-0.0027003086243366126,-0.0,0.0,-0.0005929270612815724,0.002121361263696298,-0.002727464481895242,0.0013044395348194558,-0.0
22,"2 2 0 0(2, 2)",-0.23904572186687878,0.25617376914898987,-0.19364916731037055,-0.04960783708246098,0.0,-0.0,0.09338601215184739,-0.37354404860738893,0.6670429439417688,-0.586997790668753,0.21197142440816125
