,com_qqnn,com_constant,bmb_bra,bmb_ket,bmbs,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12
0,"0 0 5 2(0, 0)",0.0,0.21794372791483355,0.21794372791483355,0.047499468537415,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
1,"0 2 3 4(0, 2)",0.7302967433402214,-0.16142134713833034,-0.16142134713833034,0.026056851311953347,0.0,-0.0,0.019029233654819906,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
2,"0 2 4 2(0, 2)",-0.5477225575051662,0.0658999890135974,0.0658999890135974,0.0043428085519922575,-0.0,0.0,-0.002378654206852507,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
3,"0 2 5 0(0, 2)",-1.0954451150103324,-0.2055188286887077,-0.2055188286887077,0.04223798894557838,-0.0,0.0,-0.04626939865829425,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
4,"0 4 1 6(0, 4)",1.460593486680443,0.1256663483123209,0.1256663483123209,0.01579203109815356,0.0,-0.0,0.0,-0.0,0.023065737763418095,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
5,"0 4 2 4(0, 4)",-0.5477225575051662,-0.22074803727330594,-0.22074803727330594,0.04872969596001687,-0.0,0.0,-0.0,0.0,-0.026690353697669603,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
6,"0 4 3 2(0, 4)",-1.8257418583505538,0.1791341958249223,0.1791341958249223,0.032089060113841605,-0.0,0.0,-0.0,0.0,-0.058586340244967804,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
7,"0 6 0 6(0, 6)",-0.5477225575051662,0.5176736252424856,0.5176736252424856,0.26798598227169745,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.14678196758538825,0.0,-0.0,0.0,-0.0,0.0,-0.0
8,"0 6 1 4(0, 6)",-2.5560386016907755,-0.14674667921666437,-0.14674667921666437,0.021534587861118594,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.05504323784452072,0.0,-0.0,0.0,-0.0,0.0,-0.0
9,"1 0 4 2(1, 0)",0.0,-0.043588745582966916,-0.043588745582966916,0.0018999787414966179,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
10,"1 2 2 4(1, 2)",0.7302967433402214,0.08185556300278146,0.08185556300278146,0.006700333194502325,0.0,-0.0,0.017126310289338042,-0.034252620578676084,0.022019541800577455,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
11,"1 2 3 2(1, 2)",-0.5477225575051662,0.23487866135852314,0.23487866135852314,0.05516798556157179,-0.0,0.0,-0.10575862550467287,0.21151725100934574,-0.13597537564886494,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
12,"1 2 4 0(1, 2)",-1.0954451150103324,-0.0597646064787576,-0.0597646064787576,0.003571808187560755,-0.0,0.0,-0.013694519407860711,0.027389038815721422,-0.017607239238678036,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0
13,"1 4 0 6(1, 4)",1.460593486680443,-0.14674667921666443,-0.14674667921666443,0.02153458786111861,0.0,-0.0,0.0,-0.0,0.17299303322563672,-0.34598606645127344,0.20444631199393454,-0.0,0.0,-0.0,0.0,-0.0,0.0
